path,filename,ext,size_mb,category_hint,priority
"/Volumes/Untitled/업로드 전/학교생활기록부기재전략_발표_손선열대입지원관(게재용).pptx","학교생활기록부기재전략_발표_손선열대입지원관(게재용).pptx",pptx,18.15,"기타",3
"/Volumes/Untitled/업로드 전/2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료.pptx","2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료.pptx",pptx,18.06,"기타",3
"/Volumes/Untitled/업로드 전/(이투스에듀) 2026_대비_경쟁률검색기_ver2.xlsb","(이투스에듀) 2026_대비_경쟁률검색기_ver2.xlsb",xlsb,18.00,"기타",3
"/Volumes/Untitled/업로드 전/돈과_국가_신뢰의_200년.pdf","돈과_국가_신뢰의_200년.pdf",pdf,17.36,"기타",3
"/Volumes/Untitled/업로드 전/2026년 학교는 이렇게 바뀝니다_교육부 주요 정책 총정리_by 별의별 교육연구소_from Youtube to NotebookLM Slide_20260208.pdf","2026년 학교는 이렇게 바뀝니다_교육부 주요 정책 총정리_by 별의별 교육연구소_from Youtube to NotebookLM Slide_20260208.pdf",pdf,17.28,"기타",3
"/Volumes/Untitled/업로드 전/오대교대표님강연회& 겨울학기 설명회 기획.hwp","오대교대표님강연회& 겨울학기 설명회 기획.hwp",hwp,17.25,"기타",3
"/Volumes/Untitled/업로드 전/2026음악대학입시의이해.pdf","2026음악대학입시의이해.pdf",pdf,17.18,"기타",3
"/Volumes/Untitled/업로드 전/2025학년도 울산교육청 대입_수시_면접후기 자료집.pdf","2025학년도 울산교육청 대입_수시_면접후기 자료집.pdf",pdf,17.02,"기타",3
"/Volumes/Untitled/업로드 전/WTP Education 토론 주제 모음_매우 유용.docx","WTP Education 토론 주제 모음_매우 유용.docx",docx,16.92,"기타",3
"/Volumes/Untitled/업로드 전/2028학년도 대학입학전형기본사항_한국대학교육협의회_by Google NotebookLM Slide 요약_20251205 작업.pdf","2028학년도 대학입학전형기본사항_한국대학교육협의회_by Google NotebookLM Slide 요약_20251205 작업.pdf",pdf,16.34,"기타",3
"/Volumes/Untitled/업로드 전/[이투스 교육평가연구소] 학부모입시교실 자료집_24년 개정판(배포용)_20250310.pdf","[이투스 교육평가연구소] 학부모입시교실 자료집_24년 개정판(배포용)_20250310.pdf",pdf,15.73,"기타",3
"/Volumes/Untitled/업로드 전/목숨이 걸린 상황에서 내가 살 수 있는 방법은_물리학 VS 수학_by 범준에 물리다 with 수학자 김상현 교수_from Youtube to NotebookLM Slide_20250524.pdf","목숨이 걸린 상황에서 내가 살 수 있는 방법은_물리학 VS 수학_by 범준에 물리다 with 수학자 김상현 교수_from Youtube to NotebookLM Slide_20250524.pdf",pdf,15.64,"기타",3
"/Volumes/Untitled/업로드 전/대입 정보 매거진_2025년 12월호_vol135.pdf","대입 정보 매거진_2025년 12월호_vol135.pdf",pdf,15.52,"기타",3
"/Volumes/Untitled/업로드 전/글쓰기 지도법.pptx","글쓰기 지도법.pptx",pptx,15.35,"기타",3
"/Volumes/Untitled/업로드 전/쎈(SEN)진학_2025학년도 고1_2학년 진학지도 자료집_서울특별시교육청교육연구정보원.pdf","쎈(SEN)진학_2025학년도 고1_2학년 진학지도 자료집_서울특별시교육청교육연구정보원.pdf",pdf,15.23,"기타",3
"/Volumes/Untitled/업로드 전/선배들이 말하는 나의 학종 성공법.pdf","선배들이 말하는 나의 학종 성공법.pdf",pdf,15.22,"기타",3
"/Volumes/Untitled/업로드 전/250121_조간_(보도)_인공지능_융합이_강조된_2025년_바이오_미래유망기술_발표.hwpx","250121_조간_(보도)_인공지능_융합이_강조된_2025년_바이오_미래유망기술_발표.hwpx",hwpx,15.01,"기타",3
"/Volumes/Untitled/업로드 전/쎈(SEN)진학 2025학년도 고1_2학년 진학지도 자료집.pdf","쎈(SEN)진학 2025학년도 고1_2학년 진학지도 자료집.pdf",pdf,14.97,"기타",3
"/Volumes/Untitled/업로드 전/[특강] 필수현대시95선-기초속성 각론.hwp","[특강] 필수현대시95선-기초속성 각론.hwp",hwp,14.65,"기타",3
"/Volumes/Untitled/업로드 전/AI튜터 학원매뉴얼.pdf","AI튜터 학원매뉴얼.pdf",pdf,14.64,"기타",3
"/Volumes/Untitled/업로드 전/공부선배.mp4","공부선배.mp4",mp4,14.55,"기타",3
"/Volumes/Untitled/업로드 전/2022 개정 교육과정 통합과학과 빌 브라이슨 '거의 모든 것의 역사 융합'_혁신_by Google NotebookLM Slide 자료_3가지 관점.pdf","2022 개정 교육과정 통합과학과 빌 브라이슨 '거의 모든 것의 역사 융합'_혁신_by Google NotebookLM Slide 자료_3가지 관점.pdf",pdf,14.44,"기타",3
"/Volumes/Untitled/업로드 전/서울대학교 환경에너지연구실 구성원 저서 및 추천 도서_from Webpage to Gamma_20250302.pdf","서울대학교 환경에너지연구실 구성원 저서 및 추천 도서_from Webpage to Gamma_20250302.pdf",pdf,14.21,"기타",3
"/Volumes/Untitled/업로드 전/이중 진자 운동과 홈런 타자 스윙의 상관 관계 분석_by NotebookLM Slide.pdf","이중 진자 운동과 홈런 타자 스윙의 상관 관계 분석_by NotebookLM Slide.pdf",pdf,14.05,"기타",3
"/Volumes/Untitled/업로드 전/1. 2026 주요 대학 수시모집전형 분석 및 지원 전략(2025.7.11)-전남교육청(제출용).pdf","1. 2026 주요 대학 수시모집전형 분석 및 지원 전략(2025.7.11)-전남교육청(제출용).pdf",pdf,13.80,"기타",3
"/Volumes/Untitled/업로드 전/초등미술 4학년_교과서활동지모음집(최종) - 웹용.pdf","초등미술 4학년_교과서활동지모음집(최종) - 웹용.pdf",pdf,13.79,"기타",3
"/Volumes/Untitled/업로드 전/2025 학생부 기재요령 교과학습발달상황(1학년).pdf","2025 학생부 기재요령 교과학습발달상황(1학년).pdf",pdf,13.76,"기타",3
"/Volumes/Untitled/업로드 전/1_v0721_바이오리포트_신약개발_최종.pdf","1_v0721_바이오리포트_신약개발_최종.pdf",pdf,13.71,"기타",3
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월_상위누적(가채점)_밴드용.xls","(이투스) 고3_2026학년도 9월_상위누적(가채점)_밴드용.xls",xls,13.57,"기타",3
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월_상위누적(가채점)_밴드용_20250904.xls","(이투스) 고3_2026학년도 9월_상위누적(가채점)_밴드용_20250904.xls",xls,13.56,"기타",3
"/Volumes/Untitled/업로드 전/자율전공선발학생의 전공선택과 진로.pdf","자율전공선발학생의 전공선택과 진로.pdf",pdf,13.53,"기타",3
"/Volumes/Untitled/업로드 전/2028 대입 지방고 필승 전략_블루프린트_from Google Gemini Deep Research to NotebookLM Slide_20251209.pdf","2028 대입 지방고 필승 전략_블루프린트_from Google Gemini Deep Research to NotebookLM Slide_20251209.pdf",pdf,13.08,"기타",3
"/Volumes/Untitled/업로드 전/생성형AI를 활용한 인사관리_4.pdf","생성형AI를 활용한 인사관리_4.pdf",pdf,13.06,"기타",3
"/Volumes/Untitled/업로드 전/(고등학교) 창체로 여는 길.pdf","(고등학교) 창체로 여는 길.pdf",pdf,12.98,"기타",3
"/Volumes/Untitled/업로드 전/대입정보매거진_vol.134_2025년 10월_대교협.pdf","대입정보매거진_vol.134_2025년 10월_대교협.pdf",pdf,12.91,"기타",3
"/Volumes/Untitled/업로드 전/[경상북도교육청] 고등학교 경제교육 교수학습자료(2022).pdf","[경상북도교육청] 고등학교 경제교육 교수학습자료(2022).pdf",pdf,12.81,"기타",3
